Date,Serveur,Traceroute,Values
2021-11-26 12:01:47,iperf.biznetnetworks.com,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.17.154', '10.28.17.154'), ('194.53.172.33', 'he.bnix.net'), ('184.104.193.137', '100ge5-1.core1.par2.he.net'), ('184.105.81.30', 'port-channel4.core2.mrs1.he.net'), ('184.105.65.13', '100ge14-2.core1.sin1.he.net'), ('27.50.33.110', 'biznet-networks.gigabitethernet2-6.core1.sin1.he.net'), ('202.169.59.182', '202.169.59.182'), ('182.253.100.193', '182.253.100.193'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('2.736', '1.945', '1.235'), ('15.511', '36.876', '2.471'), ('1.543', '', '3.091'), ('2.132', '2.052', '3.688'), ('2.970', '3.535', '3.875'), ('3.923', '5.902', '3.868'), ('11.626', '9.804', '11.430'), ('240.511', '202.815', '20.515'), ('183.987', '204.252', '204.618'), ('205.057', '246.389', '158.513'), ('254.320', '191.941', '204.640'), ('164.275', '240.786', '203.447'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*')]"
2021-11-26 12:01:47,iperf.scottlinux.com,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.87.213', '10.28.87.213'), ('*', '*'), ('154.25.12.245', 'be2525.rcr21.bru01.atlas.cogentco.com'), ('154.54.57.177', 'be3676.ccr41.ams03.atlas.cogentco.com'), ('154.54.56.93', 'be12194.ccr41.lon13.atlas.cogentco.com'), ('154.54.82.38', 'be2101.ccr32.bos01.atlas.cogentco.com'), ('154.54.41.205', 'be3259.ccr31.yyz02.atlas.cogentco.com'), ('154.54.7.129', 'be2718.ccr42.ord01.atlas.cogentco.com'), ('154.54.44.169', 'be2832.ccr22.mci01.atlas.cogentco.com'), ('154.54.5.89', 'be3035.ccr21.den01.atlas.cogentco.com'), ('154.54.41.145', 'be3037.ccr21.slc01.atlas.cogentco.com'), ('154.54.44.141', 'be3110.ccr22.sfo01.atlas.cogentco.com'), ('154.54.43.150', 'be3179.ccr22.sjc01.atlas.cogentco.com'), ('154.54.1.162', 'be2063.rcr21.b001848-1.sjc01.atlas.cogentco.com'), ('38.142.11.154', '38.142.11.154'), ('173.230.159.83', 'if-1-4.csw6-fnc1.linode.com')]","[('1.404', '2.561', '1.507'), ('170.710', '10.703', '49.780'), ('1.638', '1.950', '1.416'), ('1.730', '1.785', '2.012'), ('2.510', '2.552', '4.645'), ('*', '*', '*'), ('6.640', '5.175', '3.891'), ('9.627', '7.336', '7.523'), ('190.131', '175.553', '204.911'), ('207.398', '172.672', '109.262'), ('198.616', '176.473', '204.000'), ('204.737', '174.521', '204.788'), ('202.837', '176.184', '191.328'), ('219.487', '175.110', '206.636'), ('203.744', '177.207', '203.994'), ('207.056', '174.262', '203.435'), ('192.469', '157.305', '158.733'), ('178.633', '175.135', '205.697'), ('204.700', '161.552', '210.530'), ('198.300', '198.267', '211.333')]"
2021-11-26 12:01:47,iperf.eenet.ee,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.17.157', '10.28.17.157'), ('62.40.127.134', 'belnet-gw.mx1.ams.nl.geant.net'), ('62.40.98.61', 'ae1.mx1.ham.de.geant.net'), ('62.40.98.59', 'ae5.rt2.tal.ee.geant.net'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('1.835', '1.441', '1.481'), ('1.717', '1.761', '1.478'), ('2.006', '1.556', '1.656'), ('1.948', '1.816', '1.682'), ('2.910', '2.638', '2.741'), ('6.552', '6.136', '7.088'), ('14.776', '12.350', '13.128'), ('32.220', '34.135', '35.368'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*')]"
2021-11-26 12:01:47,speedtest.uztelecom.uz,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.17.154', '10.28.17.154'), ('194.53.172.71', 'retn.bnix.net'), ('87.245.233.211', 'ae0-8.RT.INT.STV.RU.retn.net'), ('87.245.238.45', 'GW-Intal.retn.net'), ('195.69.189.44', '195.69.189.44'), ('195.69.191.46', '195.69.191.46'), ('195.69.189.255', '195.69.189.255'), ('84.54.64.14', '84.54.64.14'), ('84.54.64.133', '84.54.64.133'), ('84.54.64.130', '84.54.64.130'), ('84.54.64.130', '84.54.64.130'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('1.940', '3.244', '1.637'), ('1.968', '1.349', '1.422'), ('1.994', '1.509', '2.014'), ('2.517', '1.985', '1.743'), ('3.795', '3.118', '3.909'), ('23.586', '3.896', '4.442'), ('60.723', '97.441', '65.168'), ('89.406', '88.089', '88.688'), ('89.481', '88.589', '88.890'), ('132.541', '204.088', '200.997'), ('206.501', '200.326', '215.862'), ('96.293', '90.209', '90.406'), ('90.731', '90.838', '90.591'), ('89.250', '92.134', '92.018'), ('89.466', '87.858', '88.310'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*')]"
2021-11-26 12:01:47,lille.testdebit.info,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.87.213', '10.28.87.213'), ('*', '*'), ('154.25.12.245', 'be2525.rcr21.bru01.atlas.cogentco.com'), ('154.54.57.165', 'be3675.ccr42.par01.atlas.cogentco.com'), ('130.117.1.46', 'be3626.rcr21.par05.atlas.cogentco.com'), ('*', '*'), ('62.34.2.57', '62.34.2.57'), ('212.194.171.71', 'la28.bsr01-lil.net.bbox.fr'), ('89.89.100.97', 'la2.rpt02-th2.net.bbox.fr'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('30.219', '47.285', '53.077'), ('42.014', '81.999', '49.621'), ('2.214', '1.802', '3.182'), ('1.692', '1.974', '3.992'), ('2.747', '3.499', '2.254'), ('*', '*', '*'), ('8.525', '5.071', '3.929'), ('8.734', '9.405', '9.873'), ('10.789', '10.665', '9.074'), ('*', '*', '*'), ('15.932', '14.581', '13.985'), ('13.832', '13.771', '13.842'), ('14.121', '14.184', '15.619'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*')]"
2021-11-26 12:01:47,speedtest.serverius.net,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.17.154', '10.28.17.154'), ('194.53.172.71', 'retn.bnix.net'), ('87.245.232.44', 'ae0-3.RT.SRV.DRO.NL.retn.net'), ('87.245.246.61', 'GW-Serverius.retn.net'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('2.590', '4.051', '4.043'), ('2.595', '1.844', '2.079'), ('3.296', '2.137', '2.934'), ('11.396', '5.612', '3.080'), ('5.343', '3.728', '3.415'), ('3.582', '5.056', '5.388'), ('16.686', '9.963', '9.151'), ('7.940', '8.772', '7.658'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*')]"
2021-11-26 12:42:22,iperf.biznetnetworks.com,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.17.154', '10.28.17.154'), ('194.53.172.33', 'he.bnix.net'), ('184.104.193.137', '100ge5-1.core1.par2.he.net'), ('184.105.81.30', 'port-channel4.core2.mrs1.he.net'), ('184.105.65.13', '100ge14-2.core1.sin1.he.net'), ('74.82.50.70', 'biznet-networks-singapore-pte.e0-11.switch1.sin1.he.net'), ('182.253.255.185', '182.253.255.185'), ('182.253.100.193', '182.253.100.193'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('1.490', '1.428', '1.491'), ('1.561', '1.388', '1.381'), ('2.194', '1.524', '1.389'), ('1.844', '1.972', '1.560'), ('3.024', '2.781', '2.698'), ('3.902', '3.633', '3.604'), ('9.743', '9.780', ''), ('22.657', '20.102', '20.044'), ('228.231', '174.145', '205.231'), ('204.546', '155.959', '202.165'), ('204.543', '199.194', '205.654'), ('204.822', '201.962', '206.153'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*')]"
2021-11-26 12:42:22,iperf.scottlinux.com,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.87.213', '10.28.87.213'), ('*', '*'), ('154.25.12.245', 'be2525.rcr21.bru01.atlas.cogentco.com'), ('154.54.57.177', 'be3676.ccr41.ams03.atlas.cogentco.com'), ('130.117.51.41', 'be12488.ccr42.lon13.atlas.cogentco.com'), ('154.54.42.85', 'be2490.ccr42.jfk02.atlas.cogentco.com'), ('154.54.47.49', 'be2889.ccr21.cle04.atlas.cogentco.com'), ('154.54.7.129', 'be2718.ccr42.ord01.atlas.cogentco.com'), ('154.54.42.165', 'be2831.ccr21.mci01.atlas.cogentco.com'), ('154.54.5.89', 'be3035.ccr21.den01.atlas.cogentco.com'), ('154.54.41.145', 'be3037.ccr21.slc01.atlas.cogentco.com'), ('154.54.44.141', 'be3110.ccr22.sfo01.atlas.cogentco.com'), ('154.54.43.70', 'be3178.ccr21.sjc01.atlas.cogentco.com'), ('154.54.43.70', 'be3178.ccr21.sjc01.atlas.cogentco.com'), ('154.54.3.138', 'be2095.rcr21.b001848-1.sjc01.atlas.cogentco.com'), ('173.230.159.81', 'if-1-4.csw5-fnc1.linode.com')]","[('2.016', '3.802', '5.102'), ('37.511', '327.374', '12.295'), ('1.611', '1.437', '1.518'), ('2.191', '3.105', '1.891'), ('3.905', '4.051', '2.558'), ('*', '*', '*'), ('4.912', '3.473', '3.320'), ('8.553', '7.376', '7.937'), ('187.848', '177.283', '206.623'), ('103.027', '177.259', '211.254'), ('111.421', '160.880', '205.300'), ('208.550', '175.325', '205.835'), ('204.784', '182.132', '204.967'), ('201.192', '182.747', '205.744'), ('202.125', '180.546', '204.593'), ('204.859', '181.057', '204.974'), ('206.548', '178.659', '151.925'), ('156.842', '202.047', '205.854'), ('202.719', '180.989', '209.362'), ('198.534', '254.157', '203.908')]"
2021-11-26 12:42:22,iperf.eenet.ee,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.17.157', '10.28.17.157'), ('62.40.127.134', 'belnet-gw.mx1.ams.nl.geant.net'), ('62.40.98.61', 'ae1.mx1.ham.de.geant.net'), ('62.40.98.59', 'ae5.rt2.tal.ee.geant.net'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('1.640', '2.570', '2.060'), ('2.421', '1.229', '1.302'), ('3.329', '2.785', '2.852'), ('2.462', '2.072', '1.686'), ('23.469', '6.474', '4.772'), ('5.786', '6.096', '6.670'), ('12.587', '18.486', '12.432'), ('32.466', '33.926', '32.298'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*')]"
2021-11-26 12:42:22,speedtest.uztelecom.uz,"[('130.104.151.254', 'CtStevin.sri.ucl.ac.be'), ('130.104.254.229', 'CtPythagore.sri.ucl.ac.be'), ('10.255.217.2', 'OsPythagore.sri.ucl.ac.be'), ('193.191.3.85', 'r1.lln.belnet.net'), ('10.28.17.154', '10.28.17.154'), ('194.53.172.71', 'retn.bnix.net'), ('87.245.233.211', 'ae0-8.RT.INT.STV.RU.retn.net'), ('87.245.238.37', 'GW-Intal.retn.net'), ('195.69.189.52', '195.69.189.52'), ('195.69.191.48', '195.69.191.48'), ('195.69.189.251', '195.69.189.251'), ('195.69.189.253', '195.69.189.253'), ('84.54.64.6', '84.54.64.6'), ('84.54.64.213', '84.54.64.213'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('1.231', '1.305', '1.244'), ('77.993', '45.804', '2.420'), ('5.757', '1.488', '1.441'), ('1.559', '1.512', '1.682'), ('2.532', '2.488', '3.358'), ('2.869', '3.653', '2.891'), ('57.357', '68.528', '58.704'), ('100.662', '92.737', '92.695'), ('89.297', '88.618', '88.189'), ('87.349', '87.242', '87.236'), ('154.870', '109.100', '204.609'), ('88.478', '87.950', '89.555'), ('89.504', '88.795', '88.048'), ('89.002', '88.409', '88.083'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*'), ('*', '*', '*')]"
