Date,Serveur,Traceroute,Values
2021-11-29 10:50:53,iperf.biznetnetworks.com (117.102.109.186),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('109.88.204.137', 'mx-bxl2-1-ae73-301.voo.be'), ('212.68.211.169', 'mx-lvl3-2-ae8-0.voo.be'), ('185.1.127.23', 'he.belgiumix.net'), ('184.104.193.137', '100ge5-1.core1.par2.he.net'), ('184.105.81.30', 'port-channel4.core2.mrs1.he.net'), ('184.105.65.13', '100ge14-2.core1.sin1.he.net'), ('74.82.50.70', 'biznet-networks-singapore-pte.e0-11.switch1.sin1.he.net'), ('182.253.255.2', '182.253.255.2'), ('117.102.109.186', '117.102.109.186')]","[('2.093', '3.198', '3.222'), ('8.094', '12.882', '13.086'), ('13.273', '13.579', '13.330'), ('17.112', '17.271', '17.286'), ('17.314', '-1', '-1'), ('42.180', '23.472', '32.224'), ('37.797', '38.110', '37.895'), ('175.142', '178.731', '175.392'), ('175.034', '175.085', '-1'), ('-1', '-1', '187.529'), ('181.402', '-1', '-1')]"
2021-11-29 10:50:53,iperf.scottlinux.com (45.33.39.39),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('109.88.204.137', 'mx-bxl2-1-ae73-301.voo.be'), ('212.68.211.141', 'mx-bxl2-2-ae0-0.voo.be'), ('149.6.135.65', 'be4159.rcr21.bru01.atlas.cogentco.com'), ('62.115.116.230', 'adm-bb4-link.ip.twelve99.net'), ('62.115.113.239', 'ldn-bb4-link.ip.twelve99.net'), ('62.115.112.244', 'nyk-bb1-link.ip.twelve99.net'), ('62.115.118.111', 'sjo-b23-link.ip.twelve99.net'), ('62.115.172.133', 'linode-ic342731-sjo-b21.ip.twelve99-cust.net'), ('154.54.44.169', 'be2832.ccr22.mci01.atlas.cogentco.com'), ('154.54.44.169', 'be2832.ccr22.mci01.atlas.cogentco.com')]","[('2.151', '4.142', '4.605'), ('14.105', '17.914', '18.402'), ('19.681', '18.812', '19.934'), ('21.056', '21.617', '20.207'), ('25.983', '-1', '-1'), ('172.183', '158.755', '159.475'), ('25.318', '-1', '-1'), ('94.598', '93.655', '-1'), ('166.263', '166.831', '167.372'), ('165.298', '-1', '-1'), ('134.560', '-1', '-1'), ('133.807', '-1', '-1')]"
2021-11-29 10:50:53,iperf.eenet.ee (193.40.55.7),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('109.88.204.137', 'mx-bxl2-1-ae73-301.voo.be'), ('212.68.211.141', 'mx-bxl2-2-ae0-0.voo.be'), ('213.248.85.106', 'cogent-ic151338-brx-b4.ip.twelve99-cust.net'), ('62.115.116.230', 'adm-bb4-link.ip.twelve99.net'), ('62.115.114.249', 's-bb2-link.ip.twelve99.net'), ('62.115.134.239', 'tln-b3-link.ip.twelve99.net'), ('62.115.151.17', 'teliacarrier.gw.eenet.ee')]","[('10.769', '11.208', '13.043'), ('13.640', '15.612', '16.095'), ('16.601', '17.175', '20.751'), ('21.560', '21.767', '23.860'), ('52.814', '56.175', '60.321'), ('-1', '37.786', '47.859'), ('46.993', '46.086', '45.234'), ('-1', '49.742', '50.831'), ('50.969', '-1', '-1')]"
2021-11-29 10:50:53,speedtest.uztelecom.uz (195.158.0.242),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('*', '*'), ('*', '*'), ('*', '*'), ('184.104.194.109', '100ge4-2.core1.lux1.he.net'), ('184.104.194.105', '100ge0-34.core2.fra1.he.net'), ('184.104.195.13', '100ge4-2.core1.fra1.he.net'), ('184.105.213.234', '100ge14-1.core1.prg1.he.net'), ('184.104.192.166', 've952.core2.kbp1.he.net'), ('216.66.94.250', 'az-international-llc.100gigabitethernet5-2.core1.kbp1.he.net'), ('195.69.189.52', '195.69.189.52'), ('195.69.189.38', '195.69.189.38'), ('195.69.189.255', '195.69.189.255'), ('84.54.64.6', '84.54.64.6'), ('84.54.64.182', '84.54.64.182'), ('84.54.64.130', '84.54.64.130')]","[('1.958', '7.758', '8.218'), ('10.708', '14.744', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '20.038'), ('46.780', '48.039', '47.126'), ('26.183', '25.451', '26.513'), ('40.926', '40.570', '40.826'), ('57.058', '56.286', '60.420'), ('110.345', '110.550', '110.641'), ('94.555', '-1', '-1'), ('98.991', '98.777', '-1'), ('101.680', '-1', '-1'), ('98.500', '99.023', '-1'), ('103.536', '-1', '-1'), ('118.590', '-1', '-1')]"
2021-11-29 10:50:53,lille.testdebit.info (89.84.1.234),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('109.88.204.137', 'mx-bxl2-1-ae73-301.voo.be'), ('212.68.211.141', 'mx-bxl2-2-ae0-0.voo.be'), ('*', '*'), ('154.54.57.165', 'be3675.ccr42.par01.atlas.cogentco.com'), ('130.117.0.166', 'be3625.rcr21.par05.atlas.cogentco.com'), ('149.14.121.234', 'bouyguestelecom.demarc.cogentco.com'), ('62.34.2.57', '62.34.2.57'), ('212.194.171.71', 'la28.bsr01-lil.net.bbox.fr'), ('89.89.100.97', 'la2.rpt02-th2.net.bbox.fr'), ('*', '*'), ('89.84.1.234', '89.84.1.234')]","[('4.111', '15.745', '15.771'), ('19.068', '28.866', '29.343'), ('33.061', '33.358', '34.825'), ('35.560', '38.575', '37.878'), ('-1', '-1', '-1'), ('-1', '18.880', '113.177'), ('132.058', '115.394', '130.762'), ('113.890', '114.402', '117.474'), ('123.657', '122.805', '121.906'), ('121.052', '127.649', '134.658'), ('135.843', '135.155', '23.439'), ('-1', '-1', '-1'), ('30.785', '31.318', '35.215')]"
2021-11-29 10:50:53,speedtest.serverius.net (178.21.16.76),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('109.88.204.137', 'mx-bxl2-1-ae73-301.voo.be'), ('212.68.211.141', 'mx-bxl2-2-ae0-0.voo.be'), ('193.239.116.25', 'serverius.serverius.nl-ix.net'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('2.127', '3.595', '5.966'), ('15.856', '19.435', '18.744'), ('19.851', '23.362', '23.848'), ('24.660', '25.134', '25.657'), ('33.599', '32.107', '31.417'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1')]"
2021-11-29 10:51:53,iperf.biznetnetworks.com (117.102.109.186),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('109.88.204.137', 'mx-bxl2-1-ae73-301.voo.be'), ('212.68.211.169', 'mx-lvl3-2-ae8-0.voo.be'), ('185.1.127.23', 'he.belgiumix.net'), ('184.104.193.137', '100ge5-1.core1.par2.he.net'), ('184.105.81.30', 'port-channel4.core2.mrs1.he.net'), ('184.105.65.13', '100ge14-2.core1.sin1.he.net'), ('74.82.50.70', 'biznet-networks-singapore-pte.e0-11.switch1.sin1.he.net'), ('182.253.255.2', '182.253.255.2'), ('117.102.109.186', '117.102.109.186')]","[('2.093', '3.198', '3.222'), ('8.094', '12.882', '13.086'), ('13.273', '13.579', '13.330'), ('17.112', '17.271', '17.286'), ('17.314', '-1', '-1'), ('42.180', '23.472', '32.224'), ('37.797', '38.110', '37.895'), ('175.142', '178.731', '175.392'), ('175.034', '175.085', '-1'), ('-1', '-1', '187.529'), ('181.402', '-1', '-1')]"
2021-11-29 10:51:53,iperf.scottlinux.com (45.33.39.39),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('109.88.204.137', 'mx-bxl2-1-ae73-301.voo.be'), ('212.68.211.141', 'mx-bxl2-2-ae0-0.voo.be'), ('149.6.135.65', 'be4159.rcr21.bru01.atlas.cogentco.com'), ('62.115.116.230', 'adm-bb4-link.ip.twelve99.net'), ('62.115.113.239', 'ldn-bb4-link.ip.twelve99.net'), ('62.115.112.244', 'nyk-bb1-link.ip.twelve99.net'), ('62.115.118.111', 'sjo-b23-link.ip.twelve99.net'), ('62.115.172.133', 'linode-ic342731-sjo-b21.ip.twelve99-cust.net'), ('154.54.44.169', 'be2832.ccr22.mci01.atlas.cogentco.com'), ('154.54.44.169', 'be2832.ccr22.mci01.atlas.cogentco.com')]","[('2.151', '4.142', '4.605'), ('14.105', '17.914', '18.402'), ('19.681', '18.812', '19.934'), ('21.056', '21.617', '20.207'), ('25.983', '-1', '-1'), ('172.183', '158.755', '159.475'), ('25.318', '-1', '-1'), ('94.598', '93.655', '-1'), ('166.263', '166.831', '167.372'), ('165.298', '-1', '-1'), ('134.560', '-1', '-1'), ('133.807', '-1', '-1')]"
2021-11-29 10:51:53,iperf.eenet.ee (193.40.55.7),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('109.88.204.137', 'mx-bxl2-1-ae73-301.voo.be'), ('212.68.211.141', 'mx-bxl2-2-ae0-0.voo.be'), ('213.248.85.106', 'cogent-ic151338-brx-b4.ip.twelve99-cust.net'), ('62.115.116.230', 'adm-bb4-link.ip.twelve99.net'), ('62.115.114.249', 's-bb2-link.ip.twelve99.net'), ('62.115.134.239', 'tln-b3-link.ip.twelve99.net'), ('62.115.151.17', 'teliacarrier.gw.eenet.ee')]","[('10.769', '11.208', '13.043'), ('13.640', '15.612', '16.095'), ('16.601', '17.175', '20.751'), ('21.560', '21.767', '23.860'), ('52.814', '56.175', '60.321'), ('-1', '37.786', '47.859'), ('46.993', '46.086', '45.234'), ('-1', '49.742', '50.831'), ('50.969', '-1', '-1')]"
2021-11-29 10:51:53,speedtest.uztelecom.uz (195.158.0.242),"[('192.168.0.1', '192.168.0.1'), ('10.161.3.65', '10.161.3.65'), ('*', '*'), ('*', '*'), ('*', '*'), ('184.104.194.109', '100ge4-2.core1.lux1.he.net'), ('184.104.194.105', '100ge0-34.core2.fra1.he.net'), ('184.104.195.13', '100ge4-2.core1.fra1.he.net'), ('184.105.213.234', '100ge14-1.core1.prg1.he.net'), ('184.104.192.166', 've952.core2.kbp1.he.net'), ('216.66.94.250', 'az-international-llc.100gigabitethernet5-2.core1.kbp1.he.net'), ('195.69.189.52', '195.69.189.52'), ('195.69.189.38', '195.69.189.38'), ('195.69.189.255', '195.69.189.255'), ('84.54.64.6', '84.54.64.6'), ('84.54.64.182', '84.54.64.182'), ('84.54.64.130', '84.54.64.130')]","[('1.958', '7.758', '8.218'), ('10.708', '14.744', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '20.038'), ('46.780', '48.039', '47.126'), ('26.183', '25.451', '26.513'), ('40.926', '40.570', '40.826'), ('57.058', '56.286', '60.420'), ('110.345', '110.550', '110.641'), ('94.555', '-1', '-1'), ('98.991', '98.777', '-1'), ('101.680', '-1', '-1'), ('98.500', '99.023', '-1'), ('103.536', '-1', '-1'), ('118.590', '-1', '-1')]"
