Date,Sunshine,Wind,Rain,Temperature
2021-11-05 16:00:00,3,27,0.0,10.6
2021-11-05 17:00:00,3,26,0.0,9.8
2021-11-05 18:00:00,0,21,0.0,7.9
2021-11-05 19:00:00,0,21,0.0,7.1
2021-11-05 20:00:00,0,17,0.0,6.3
2021-11-05 21:00:00,0,17,0.0,5.8
2021-11-05 22:00:00,0,17,0.0,5.1
2021-11-05 23:00:00,0,21,0.0,4.8
2021-11-06 00:00:00,0,25,0.0,3.9
2021-11-06 01:00:00,0,25,0.0,3.6
2021-11-06 02:00:00,0,27,0.0,3.4
2021-11-06 03:00:00,0,32,0.0,3.3
2021-11-06 04:00:00,0,32,0.0,3.3
2021-11-06 05:00:00,0,34,0.0,3.2
2021-11-06 06:00:00,0,35,0.0,3.2
2021-11-06 07:00:00,0,33,0.0,4.2
2021-11-06 08:00:00,1,34,0.0,5.3
2021-11-06 09:00:00,1,34,0.0,5.8
2021-11-06 10:00:00,1,35,0.0,6.5
2021-11-06 11:00:00,1,35,0.0,7.3
2021-11-06 12:00:00,1,38,0.0,7.6
2021-11-06 13:00:00,1,40,0.0,7.9
2021-11-06 14:00:00,1,42,0.0,8.3
2021-11-06 15:00:00,1,43,0.0,8.5
2021-11-06 16:00:00,1,46,0.0,8.5
2021-11-06 17:00:00,1,49,0.0,8.8
2021-11-06 18:00:00,0,51,0.0,8.7
2021-11-06 19:00:00,0,54,0.0,8.4
2021-11-06 20:00:00,0,57,0.0,8.1
2021-11-06 21:00:00,0,58,0.0,7.5
2021-11-06 22:00:00,0,61,0.0,7.2
2021-11-06 23:00:00,0,60,0.0,7.9
2021-11-07 00:00:00,0,59,0.0,8.3
2021-11-07 01:00:00,0,59,0.1,8.5
2021-11-07 02:00:00,0,61,0.3,8.6
2021-11-07 03:00:00,0,60,0.0,8.8
2021-11-07 04:00:00,0,58,0.0,8.9
2021-11-07 05:00:00,0,53,0.0,9.0
2021-11-07 06:00:00,0,49,0.0,9.1
2021-11-07 07:00:00,0,38,0.1,9.3
2021-11-07 08:00:00,1,37,0.1,9.4
2021-11-07 09:00:00,1,38,0.0,9.0
2021-11-07 10:00:00,1,37,0.0,8.7
2021-11-07 11:00:00,1,37,0.0,9.2
2021-11-07 12:00:00,1,39,0.0,8.9
2021-11-07 13:00:00,1,40,0.0,9.2
2021-11-07 14:00:00,1,42,0.0,9.1
2021-11-07 15:00:00,1,43,0.0,9.1
2021-11-07 16:00:00,1,40,0.0,9.2
2021-11-07 17:00:00,1,39,0.0,8.8
2021-11-07 18:00:00,0,38,0.0,8.5
2021-11-07 19:00:00,0,40,0.0,8.3
2021-11-07 20:00:00,0,41,0.0,8.3
2021-11-07 21:00:00,0,40,0.0,8.2
2021-11-07 22:00:00,0,39,0.0,8.2
2021-11-07 23:00:00,0,40,0.0,8.1
2021-11-08 00:00:00,0,38,0.0,8.0
2021-11-08 01:00:00,0,37,0.0,8.0
2021-11-08 02:00:00,0,35,0.0,8.0
2021-11-08 03:00:00,0,34,0.0,7.9
2021-11-08 04:00:00,0,34,0.0,7.6
2021-11-08 05:00:00,0,33,0.0,7.0
2021-11-08 06:00:00,0,34,0.0,7.6
2021-11-08 07:00:00,0,34,0.0,7.7
2021-11-08 08:00:00,1,37,0.0,7.9
2021-11-08 09:00:00,1,39,0.0,8.2
2021-11-08 10:00:00,1,39,0.0,8.7
2021-11-08 11:00:00,1,36,0.0,9.3
2021-11-08 12:00:00,1,35,0.0,9.2
2021-11-08 13:00:00,1,34,0.0,9.5
2021-11-08 14:00:00,1,33,0.0,9.7
2021-11-08 15:00:00,1,27,0.0,10.2
