Date,Destination,Ping,Lost,Measurment,Error
2021-11-19 17:36:03.449172,iperf.par2.as49434.net,"[0.05546140670776367, 0.05335068702697754, 0.05368328094482422, 0.05378389358520508, 0.053908348083496094, 0.05367136001586914, 0.05366349220275879, 0.05337810516357422, 0.0536649227142334, 0.05337023735046387, 0.053362131118774414, 0.0609438419342041, 0.060804128646850586, 0.060923099517822266, 0.06102585792541504, 0.060834646224975586, 0.06105327606201172, 0.060831308364868164, 0.06094813346862793, 0.06106281280517578]",0.0,20,0
2021-11-19 17:36:09.209418,iperf.biznetnetworks.com,"[0.2842884063720703, 0.2847709655761719, 0.2849578857421875, 0.2850480079650879, 0.28478074073791504, 0.2849082946777344, 0.2847588062286377, 0.28492164611816406, 0.2848548889160156, 0.2849395275115967, 0.2848513126373291, 0.28486132621765137, 0.2844998836517334, 0.28496408462524414, 0.28447413444519043, 0.285109281539917, 0.2847011089324951, 0.28491854667663574, 0.28482556343078613, 0.28493452072143555]",0.0,20,0
2021-11-19 17:36:17.019059,iperf.scottlinux.com,"[0.196364164352417, 0.19688987731933594, 0.196854829788208, 0.19696259498596191, 0.19689321517944336, 0.1969285011291504, 0.19689297676086426, 0.19673752784729004, 0.19688200950622559, 0.19692754745483398, 0.19690227508544922, 0.19699454307556152, 0.1968390941619873, 'NaN', 0.19826555252075195, 0.19672250747680664, 0.19690418243408203, 0.19691967964172363, 0.19686245918273926, 0.19692587852478027]",0.05,20,0
2021-11-19 17:36:18.638457,iperf.eenet.ee,"[0.07629656791687012, 0.07681918144226074, 0.0850527286529541, 0.07704353332519531, 0.07692790031433105, 0.07706475257873535, 0.0760030746459961, 0.07679080963134766, 0.07679557800292969, 0.07685995101928711, 0.07704806327819824, 0.07709240913391113, 0.07694602012634277, 0.07668042182922363, 0.07691383361816406, 0.07697892189025879, 0.08481669425964355, 0.07697343826293945, 0.07678604125976562, 0.0769662857055664]",0.0,20,0
2021-11-19 17:36:21.514966,speedtest.uztelecom.uz,"[0.1369798183441162, 0.14055657386779785, 0.14090824127197266, 0.14093899726867676, 0.1409740447998047, 0.14100074768066406, 0.1408674716949463, 0.14095568656921387, 0.14096593856811523, 0.14093399047851562, 0.14092445373535156, 0.1409599781036377, 0.14080429077148438, 0.14096570014953613, 0.14086508750915527, 0.14094281196594238, 0.14092421531677246, 0.14081740379333496, 0.1399073600769043, 0.14084076881408691]",0.0,20,0
2021-11-19 17:42:02.550777,iperf.par2.as49434.net,"[0.055257320404052734, 0.06255340576171875, 0.053678274154663086, 0.05353593826293945, 0.06341981887817383, 0.05331754684448242, 0.06301641464233398, 0.05367588996887207, 0.053601741790771484, 0.06275343894958496, 0.07159686088562012, 0.05299711227416992, 0.052881479263305664, 0.05295276641845703, 0.06232738494873047, 0.05297112464904785, 0.05299639701843262, 0.05278825759887695, 0.0529637336730957, 0.05290508270263672]",0.0,20,0
2021-11-19 17:42:08.318819,iperf.biznetnetworks.com,"[0.2852897644042969, 0.27688074111938477, 0.28618907928466797, 0.2768700122833252, 0.2769021987915039, 0.27742767333984375, 0.2978994846343994, 0.2832942008972168, 0.27696657180786133, 0.2769463062286377, 0.2766447067260742, 0.27666425704956055, 0.2861769199371338, 0.2769296169281006, 0.34429144859313965, 0.3068821430206299, 0.29115962982177734, 0.27669215202331543, 0.2770578861236572, 0.2768683433532715]",0.0,20,0
2021-11-19 17:42:12.221589,iperf.scottlinux.com,"[0.20167970657348633, 0.1834700107574463, 0.19298553466796875, 0.18358683586120605, 0.19282197952270508, 0.19299602508544922, 0.18358135223388672, 0.19318556785583496, 0.19243550300598145, 0.1930067539215088, 0.19292402267456055, 0.19274234771728516, 0.19268321990966797, 0.1843104362487793, 0.19187235832214355, 0.18358325958251953, 0.19288063049316406, 0.20235919952392578, 0.20742082595825195, 0.18909955024719238]",0.0,20,0
2021-11-19 17:42:17.653626,iperf.eenet.ee,"['NaN', 0.06843948364257812, 0.06886792182922363, 0.06896042823791504, 0.08516645431518555, 0.0847771167755127, 0.06894564628601074, 0.0690615177154541, 0.06890034675598145, 0.06890487670898438, 0.06902527809143066, 0.0688791275024414, 0.06926727294921875, 0.08477091789245605, 0.06898045539855957, 0.06903457641601562, 0.06893682479858398, 0.0689847469329834, 0.07698369026184082, 0.0686953067779541]",0.05,20,0
2021-11-19 17:42:20.389570,speedtest.uztelecom.uz,"[0.13213682174682617, 0.13297009468078613, 0.1329658031463623, 0.13248252868652344, 0.1325843334197998, 0.13281846046447754, 0.13295221328735352, 0.1328434944152832, 0.1328432559967041, 0.13284015655517578, 0.13280296325683594, 0.13294482231140137, 0.13291215896606445, 0.13289499282836914, 0.1329207420349121, 0.13296794891357422, 0.13295841217041016, 0.13294172286987305, 0.14098691940307617, 0.14097261428833008]",0.0,20,0
2021-11-19 17:48:06.917990,iperf.par2.as49434.net,"[0.046115875244140625, 0.05332231521606445, 0.053794145584106445, 'NaN', 0.05950808525085449, 0.0621485710144043, 0.05294537544250488, 0.06240653991699219, 0.052800655364990234, 0.06246542930603027, 0.06265878677368164, 0.06200385093688965, 0.05299806594848633, 0.06260466575622559, 0.061986446380615234, 0.05237603187561035, 0.05299043655395508, 0.05292105674743652, 0.05309128761291504, 0.05320572853088379]",0.05,20,0
2021-11-19 17:48:12.592143,iperf.biznetnetworks.com,"[0.29407644271850586, 0.27694010734558105, 0.2762601375579834, 0.27715587615966797, 0.27703404426574707, 0.2869138717651367, 0.28546977043151855, 0.27697277069091797, 0.27698779106140137, 0.2767517566680908, 0.27694249153137207, 0.27694225311279297, 0.27687835693359375, 0.2769343852996826, 0.27600717544555664, 0.2861175537109375, 0.2768385410308838, 0.2958102226257324, 0.28618931770324707, 0.2770545482635498]",0.0,20,0
2021-11-19 17:48:16.651924,iperf.scottlinux.com,"[0.2018754482269287, 0.19194388389587402, 0.19358062744140625, 0.19218158721923828, 0.19289374351501465, 0.19300413131713867, 0.19309306144714355, 0.2114543914794922, 0.19287705421447754, 0.21158552169799805, 0.19280338287353516, 0.21172595024108887, 0.19291186332702637, 0.22100353240966797, 0.19269514083862305, 0.19309449195861816, 0.2021927833557129, 0.20224809646606445, 0.2115941047668457, 0.20234918594360352]",0.0,20,0
