Date,Destination,Ping,Lost,Measurment,Error
2021-11-26 18:12:08.545487,iperf.biznetnetworks.com,"[0.2645680904388428, 0.2744114398956299, 0.27462196350097656, 0.27398204803466797, 0.2738778591156006, 0.2738943099975586, 0.27404069900512695, 0.28591346740722656, 0.283008337020874, 0.2740812301635742, 0.27387428283691406, 0.27377820014953613, 0.2739908695220947, 0.2740621566772461, 0.27422189712524414, 0.2735629081726074, 0.27401113510131836, 0.28394269943237305, 0.27356410026550293, 0.2740459442138672]",0.0,20,0
2021-11-26 18:12:12.239509,iperf.scottlinux.com,"[0.17715692520141602, 0.17782211303710938, 0.17830157279968262, 0.17785072326660156, 0.17812728881835938, 0.17782235145568848, 0.177947998046875, 0.17815494537353516, 0.17789268493652344, 0.17800450325012207, 0.18871521949768066, 0.17794227600097656, 0.17777347564697266, 0.17793512344360352, 0.17757034301757812, 0.1775808334350586, 0.17766571044921875, 0.17799782752990723, 0.17802762985229492, 0.23411226272583008]",0.0,20,0
2021-11-26 18:12:13.463929,iperf.eenet.ee,"[0.08397698402404785, 0.07603192329406738, 0.0855104923248291, 0.09313011169433594, 0.09237217903137207, 0.07501840591430664, 0.07626724243164062, 0.07666635513305664, 0.07669806480407715, 0.0764780044555664, 0.07663154602050781, 0.07610487937927246, 0.07695364952087402, 0.07674145698547363, 0.0786278247833252]",0.0,20,5
2021-11-26 18:12:13.918917,speedtest.uztelecom.uz,"[0.07594704627990723, 0.07474088668823242, 0.0895228385925293, 0.1468503475189209, 0.1399381160736084, 0.13793206214904785, 0.13749957084655762, 0.1546955108642578, 0.13965272903442383, 0.14102530479431152, 0.14099454879760742, 0.14118051528930664, 0.13927936553955078, 0.13993334770202637, 0.1391010284423828, 0.14140629768371582, 0.14167189598083496]",0.0,20,3
2021-11-26 18:12:14.150821,lille.testdebit.info,"[0.14174294471740723, 0.14165949821472168, 0.1405782699584961, 0.0532839298248291, 0.05365109443664551, 0.05335855484008789, 0.1378796100616455, 0.053604841232299805, 0.053618431091308594, 0.05370163917541504, 0.1411893367767334, 0.05384564399719238, 0.0531158447265625, 0.05370020866394043, 0.05379962921142578, 0.05362892150878906, 0.053473472595214844, 0.05390119552612305, 0.05348634719848633, 0.05376124382019043]",0.0,20,0
2021-11-26 18:12:14.375026,speedtest.serverius.net,"[0.053765058517456055, 0.0536808967590332, 0.053383588790893555, 0.05368971824645996, 0.053356170654296875, 0.05380868911743164, 0.05370807647705078, 0.05379819869995117, 0.05397653579711914, 0.0536808967590332, 0.05356574058532715, 0.05376148223876953, 0.053375244140625, 0.05310654640197754, 0.05327010154724121, 0.053345680236816406, 0.0533907413482666, 0.05330204963684082, 0.052983999252319336, 0.053368568420410156]",0.0,20,0
2021-11-26 18:18:16.980588,iperf.biznetnetworks.com,"[0.2794656753540039, 0.27752184867858887, 0.2726016044616699, 0.2771463394165039, 0.28058528900146484, 0.2807493209838867, 0.28075408935546875, 0.2809484004974365, 0.2803633213043213, 0.28029584884643555, 0.28036928176879883, 0.2807748317718506, 0.28057360649108887, 0.2847898006439209, 0.2804145812988281, 0.2802920341491699, 0.2804117202758789, 0.28015923500061035, 0.2794358730316162, 0.28038668632507324]",0.0,20,0
2021-11-26 18:18:20.836729,iperf.scottlinux.com,"[0.18749594688415527, 0.18807387351989746, 0.18900656700134277, 0.18802833557128906, 0.18839120864868164, 0.188493013381958, 0.18837380409240723, 0.1962141990661621, 0.19240546226501465, 0.18837451934814453, 0.18805646896362305, 0.18990516662597656, 0.19106340408325195, 0.18837571144104004, 0.18869996070861816, 0.18835759162902832, 0.18849825859069824, 0.18848729133605957, 0.18737339973449707, 0.18840718269348145]",0.0,20,0
2021-11-26 18:18:22.256348,iperf.eenet.ee,"[0.06727385520935059, 0.06820487976074219, 0.06486272811889648, 0.06831741333007812, 0.06867623329162598, 0.06513142585754395, 0.06860923767089844, 0.06859612464904785, 0.06504535675048828, 0.06856870651245117, 0.06841874122619629, 0.06488800048828125, 0.0682973861694336, 0.06847286224365234, 0.06487274169921875, 0.06874918937683105, 0.06856703758239746, 0.06871151924133301, 0.06807398796081543, 0.06838345527648926]",0.0,20,0
2021-11-26 18:18:25.072425,speedtest.uztelecom.uz,"[0.1406393051147461, 0.1351456642150879, 0.13619351387023926, 0.13610076904296875, 0.1445903778076172, 0.13652300834655762, 0.136826753616333, 0.13503575325012207, 0.1406252384185791, 0.13660764694213867, 0.1365811824798584, 0.136336088180542, 0.13619112968444824, 0.13644123077392578, 0.1363544464111328, 0.13581347465515137, 0.13666915893554688, 0.1371326446533203, 0.13520264625549316, 0.1365680694580078]",0.0,20,0
2021-11-26 18:18:26.184111,lille.testdebit.info,"[0.05209636688232422, 0.048859596252441406, 0.052565813064575195, 0.052641868591308594, 0.052522897720336914, 0.05262899398803711, 0.05263400077819824, 0.0526273250579834, 0.05261993408203125, 0.05275368690490723, 0.0525057315826416, 0.05202794075012207, 0.05238771438598633, 0.052106380462646484, 0.05211901664733887, 0.05279874801635742, 0.052536725997924805, 0.05663490295410156, 0.04881858825683594, 0.04867362976074219]",0.0,20,0
2021-11-26 18:18:27.234837,speedtest.serverius.net,"[0.048362016677856445, 0.04868960380554199, 0.04745197296142578, 0.0487363338470459, 0.04862856864929199, 0.04492759704589844, 0.04860258102416992, 0.048574209213256836, 0.04492521286010742, 0.048943281173706055, 0.04230523109436035, 0.04786801338195801, 0.043999433517456055, 0.04822421073913574, 0.04868507385253906, 0.08739185333251953, 0.044458627700805664, 0.044634342193603516, 0.04482102394104004, 0.05328106880187988]",0.0,20,0
2021-11-26 18:18:02.394042,iperf.biznetnetworks.com,[],0.0,20,20
2021-11-26 18:18:02.416253,iperf.scottlinux.com,[],0.0,20,20
2021-11-26 18:18:02.434574,iperf.eenet.ee,[],0.0,20,20
2021-11-26 18:18:02.445766,speedtest.uztelecom.uz,[],0.0,20,20
2021-11-26 18:18:02.457407,lille.testdebit.info,[],0.0,20,20
2021-11-26 18:18:02.468810,speedtest.serverius.net,[],0.0,20,20
2021-11-26 18:42:13.473036,iperf.biznetnetworks.com,"[0.4077115058898926, 0.3596498966217041, 0.41323137283325195, 0.45656895637512207, 0.4027547836303711, 0.359830379486084, 0.3282003402709961, 0.29616832733154297, 0.30686068534851074, 0.2854311466217041, 0.2861340045928955, 0.28629040718078613, 0.2855217456817627, 0.28525614738464355, 0.28554368019104004, 0.338031530380249, 0.28553223609924316, 0.2855830192565918, 0.28558802604675293, 0.28551793098449707]",0.0,20,0
