date,country,name,host,id,download,upload,ping,d
2021-11-26 20:11:32.435019,Germany,Nümbrecht,speedtest-gwn24.tele-ag.de:8080,22274,75839790.27447143,15864245.286113935,32.223,202.44990983734746
2021-11-26 20:21:01.912688,Germany,Nümbrecht,speedtest-gwn24.tele-ag.de:8080,22274,74458891.0442881,17144073.052130554,32.095,202.44990983734746
2021-11-26 20:31:03.201359,Germany,Nümbrecht,speedtest-gwn24.tele-ag.de:8080,22274,76884737.93012363,16575024.763520839,70.941,202.44990983734746
2021-11-26 20:40:09.709798,Germany,Nümbrecht,speedtest-gwn24.tele-ag.de:8080,22274,79111394.22410302,15877123.370566353,32.342,202.44990983734746
2021-11-26 20:50:09.293650,Germany,Nümbrecht,speedtest-gwn24.tele-ag.de:8080,22274,74498692.18753885,16307384.059424505,31.263,202.44990983734746
2021-11-26 21:01:22.023761,Germany,Geilenkirchen,speedtest.vhnetz.de:8080,42251,40897018.735042416,15725435.095689693,393.845,107.00796574383419
2021-11-26 21:10:22.022489,Germany,Nümbrecht,speedtest-gwn24.tele-ag.de:8080,22274,81723002.79416418,16699580.362213789,1251.622,202.44990983734746
2021-11-26 21:21:08.400630,Germany,Düsseldorf,d-speed.bi-host.net:8080,39002,60712596.81482008,16351582.189267822,38.428,160.4492032597428
2021-11-26 21:30:38.805420,Germany,Düsseldorf,d-speed.bi-host.net:8080,39002,76163166.77002124,16351650.110094868,28.427,160.4492032597428
2021-11-26 21:40:11.892100,Germany,Nümbrecht,speedtest-gwn24.tele-ag.de:8080,22274,79298281.12692218,15636229.05726468,33.113,202.44990983734746
2021-11-26 21:50:36.840571,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,43038073.543687865,15139441.859684981,51.946,100.41139102509304
2021-11-26 22:00:51.193643,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,70512757.53729342,16606258.424535444,48.142,100.41139102509304
2021-11-26 22:10:12.377205,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,75230674.22996618,15275101.342304247,60.373,100.41139102509304
2021-11-26 22:20:13.756808,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,78889350.76781075,16246395.280106552,47.135,100.41139102509304
2021-11-26 22:30:59.145561,Germany,Limburg,speedtest.teliko.net:8080,40489,31131996.337263506,10916881.702313684,146.777,240.23088518476632
2021-11-26 22:40:35.197932,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,65596791.695584305,15753324.906468645,41.658,100.41139102509304
2021-11-26 22:50:43.776132,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,69081643.29712823,16545745.808167027,35.176,100.41139102509304
2021-11-26 23:01:12.188397,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,75877335.54469031,15336950.443795403,34.48,100.41139102509304
2021-11-26 23:10:59.245005,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,72963877.33484621,14228309.620602975,40.036,100.41139102509304
2021-11-26 23:21:04.154222,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,73602058.92062424,14426721.906670952,42.179,100.41139102509304
2021-11-26 23:30:28.177354,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,74714763.45772213,17084418.962847464,43.028,100.41139102509304
2021-11-26 23:40:40.400887,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,62697728.5237345,17984467.250128765,89.013,100.41139102509304
2021-11-26 23:50:39.717541,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,69066991.15630177,16983968.344791677,33.877,100.41139102509304
2021-11-27 00:01:07.703109,Netherlands,Eygelshoven,speedtest.skrime.eu:8080,46237,65392235.49681111,14641005.340387838,40.312,100.41139102509304
