Date,Destination,Ping,Lost,Measurment,Error
2021-11-26 20:12:09.153855,iperf.biznetnetworks.com,"[0.17888522148132324, 0.17879986763000488, 0.17870736122131348, 0.17867493629455566, 0.17863202095031738, 0.17867374420166016, 0.1785600185394287, 0.1785590648651123, 0.17861652374267578, 0.17859435081481934, 0.17841243743896484, 0.17878007888793945, 0.17829465866088867, 0.1785564422607422, 0.1794719696044922, 0.1787881851196289, 0.17839288711547852, 0.1782546043395996, 0.17883610725402832, 0.1794118881225586]",0.0,20,0
2021-11-26 20:12:12.555555,iperf.scottlinux.com,"[0.15804457664489746, 0.15795159339904785, 0.1578986644744873, 0.1578054428100586, 0.15811944007873535, 0.15783166885375977, 0.15762758255004883, 0.1577763557434082, 0.15769505500793457, 0.15776658058166504, 0.15778517723083496, 0.15853023529052734, 0.15784311294555664, 0.15778374671936035, 0.15782451629638672, 0.1577918529510498, 0.15802431106567383, 0.15816736221313477, 0.15823125839233398, 0.15781378746032715]",0.0,20,0
2021-11-26 20:12:13.626243,iperf.eenet.ee,"[0.04377889633178711, 0.04317736625671387, 0.04274487495422363, 0.04234790802001953, 0.04369807243347168, 0.04290652275085449, 0.042490243911743164, 0.04303288459777832, 0.043059587478637695, 0.04236102104187012, 0.042412519454956055, 0.042574167251586914, 0.04242372512817383, 0.042638540267944336, 0.043103694915771484, 0.04264664649963379, 0.04255270957946777, 0.0425872802734375, 0.04265642166137695, 0.04251551628112793]",0.0,20,0
2021-11-26 20:12:15.805876,speedtest.uztelecom.uz,"[0.09751605987548828, 0.09692263603210449, 0.09706449508666992, 0.09718894958496094, 0.09682512283325195, 0.0970163345336914, 0.09708476066589355, 0.09735584259033203, 0.09682750701904297, 0.09715151786804199, 0.09697937965393066, 0.09709024429321289, 0.09686279296875, 0.09708237648010254, 0.09720468521118164, 0.0974583625793457, 0.09775829315185547, 0.09734654426574707, 0.09781885147094727, 0.0971376895904541]",0.0,20,0
2021-11-26 20:12:17.630587,lille.testdebit.info,"[0.02770256996154785, 0.027525901794433594, 0.027276277542114258, 0.02713775634765625, 0.02719736099243164, 0.027811050415039062, 0.027217388153076172, 0.0274355411529541, 0.027197837829589844, 0.027196168899536133, 0.027344703674316406, 0.027610301971435547, 0.027206897735595703, 0.027581214904785156, 0.027367115020751953, 0.027126789093017578, 0.027608156204223633, 0.0272519588470459, 0.02735757827758789, 0.027185678482055664]",0.0,20,0
2021-11-26 20:12:22.148461,speedtest.serverius.net,"[0.01588582992553711, 0.01567697525024414, 0.015908002853393555, 0.016297578811645508, 0.016460180282592773, 0.015898704528808594, 0.01610589027404785, 0.01626133918762207, 0.016454219818115234, 0.016530513763427734, 0.015984773635864258, 0.01580214500427246, 0.016077041625976562, 'NaN', 0.015735387802124023, 0.01586437225341797, 0.016030073165893555, 0.015801191329956055, 0.015718460083007812, 0.01619744300842285]",0.05,20,0
2021-11-26 20:18:09.314813,iperf.biznetnetworks.com,"[0.17937850952148438, 0.17913508415222168, 0.1841897964477539, 0.17845559120178223, 0.17987513542175293, 0.1824326515197754, 0.1827096939086914, 0.1804821491241455, 0.18314385414123535, 0.18253636360168457, 'NaN', 0.1805107593536377, 0.17957687377929688, 0.18026137351989746, 0.1822950839996338, 0.17860913276672363, 0.18126988410949707, 0.17975378036499023, 0.1788787841796875, 0.17908787727355957]",0.05,20,0
2021-11-26 20:18:12.738231,iperf.scottlinux.com,"[0.160081148147583, 0.1580672264099121, 0.15834808349609375, 0.15905404090881348, 0.160614013671875, 0.1581859588623047, 0.15809369087219238, 0.15906238555908203, 0.15944838523864746, 0.15791773796081543, 0.1576523780822754, 0.15802526473999023, 0.15830183029174805, 0.15825295448303223, 0.15813302993774414, 0.15996193885803223, 0.15800070762634277, 0.15783047676086426, 0.16067242622375488, 0.15808820724487305]",0.0,20,0
2021-11-26 20:18:13.811743,iperf.eenet.ee,"[0.04336285591125488, 0.04247307777404785, 0.0439605712890625, 0.04423952102661133, 0.042580366134643555, 0.046923160552978516, 0.04418540000915527, 0.04341936111450195, 0.042876243591308594, 0.04273200035095215, 0.04448199272155762, 0.0426936149597168, 0.045001983642578125, 0.04284381866455078, 0.046575307846069336, 0.04256725311279297, 0.04245710372924805, 0.04274177551269531, 0.043968915939331055, 0.04286599159240723]",0.0,20,0
2021-11-26 20:18:16.024298,speedtest.uztelecom.uz,"[0.09750103950500488, 0.09778451919555664, 0.0995779037475586, 0.0973520278930664, 0.09712624549865723, 0.09855079650878906, 0.09746146202087402, 0.09847187995910645, 0.09799480438232422, 0.09827399253845215, 0.10236239433288574, 0.10170483589172363, 0.09833645820617676, 0.10132741928100586, 0.0976564884185791, 0.09711456298828125, 0.09874296188354492, 0.09709358215332031, 0.09934306144714355, 0.10079336166381836]",0.0,20,0
